Categoría: Todas las categorías

Semana,"""Smart TV"": (Argentina)","""Computadora"": (Argentina)","""PlayStation"": (Argentina)","""Tablet"": (Argentina)","""Depiladora"": (Argentina)"
2019-05-26,44,48,19,35,3
2019-06-02,43,41,21,32,3
2019-06-09,47,38,30,34,3
2019-06-16,49,36,22,36,3
2019-06-23,42,41,18,33,4
2019-06-30,46,41,19,35,4
2019-07-07,50,36,25,33,4
2019-07-14,44,35,24,36,3
2019-07-21,57,36,26,40,4
2019-07-28,49,37,27,41,4
2019-08-04,41,39,23,43,3
2019-08-11,38,36,22,46,3
2019-08-18,42,39,21,42,5
2019-08-25,35,35,22,31,4
2019-09-01,40,36,18,31,4
2019-09-08,39,37,20,34,4
2019-09-15,35,35,17,33,4
2019-09-22,35,34,20,31,5
2019-09-29,34,32,19,32,4
2019-10-06,35,35,26,29,5
2019-10-13,39,34,22,52,6
2019-10-20,35,36,16,37,5
2019-10-27,32,32,17,31,4
2019-11-03,42,35,19,33,7
2019-11-10,31,34,15,27,4
2019-11-17,29,37,21,27,6
2019-11-24,28,32,24,31,5
2019-12-01,26,35,25,34,4
2019-12-08,27,29,27,35,4
2019-12-15,30,32,31,47,5
2019-12-22,34,27,36,44,5
2019-12-29,36,27,31,38,6
2020-01-05,35,29,30,40,6
2020-01-12,36,32,33,33,5
2020-01-19,37,28,23,30,6
2020-01-26,35,28,22,31,6
2020-02-02,31,31,24,28,5
2020-02-09,38,32,23,32,5
2020-02-16,37,33,23,32,4
2020-02-23,37,35,24,28,5
2020-03-01,36,35,23,28,5
2020-03-08,34,38,19,29,3
2020-03-15,47,78,37,34,2
2020-03-22,48,88,38,32,1
2020-03-29,49,89,36,37,1
2020-04-05,49,85,41,40,2
2020-04-12,52,95,40,44,2
2020-04-19,58,100,38,54,4
2020-04-26,63,97,44,55,4
2020-05-03,63,92,39,54,4
2020-05-10,59,86,39,59,3
2020-05-17,66,82,40,62,4
